leaf-shread,stem,lodging,stem-cankers,canker-lesion,fruiting-bodies,external-decay,fruit-pods,fruit-spots,seed,seed-discolor,seed-size,shriveling,class
absent,abnorm,yes,above-sec-nde,dk-brown-blk,absent,firm-and-dry,diseased,colored,norm,absent,norm,absent,frog-eye-leaf-spot
absent,abnorm,yes,above-sec-nde,dk-brown-blk,absent,firm-and-dry,diseased,colored,norm,absent,norm,absent,frog-eye-leaf-spot
absent,abnorm,yes,above-sec-nde,dk-brown-blk,absent,firm-and-dry,diseased,colored,norm,absent,norm,absent,frog-eye-leaf-spot
absent,abnorm,yes,above-sec-nde,dk-brown-blk,absent,firm-and-dry,diseased,colored,norm,absent,norm,absent,frog-eye-leaf-spot
absent,abnorm,yes,above-sec-nde,dk-brown-blk,absent,firm-and-dry,diseased,colored,norm,absent,norm,absent,frog-eye-leaf-spot
absent,abnorm,yes,above-sec-nde,dk-brown-blk,absent,firm-and-dry,diseased,colored,norm,absent,norm,absent,frog-eye-leaf-spot
absent,abnorm,yes,above-sec-nde,dk-brown-blk,absent,firm-and-dry,diseased,colored,norm,absent,norm,absent,frog-eye-leaf-spot
absent,abnorm,yes,above-sec-nde,dk-brown-blk,absent,firm-and-dry,diseased,colored,norm,absent,norm,absent,frog-eye-leaf-spot
absent,abnorm,yes,above-sec-nde,dk-brown-blk,absent,firm-and-dry,diseased,colored,norm,absent,norm,absent,frog-eye-leaf-spot
absent,abnorm,yes,above-sec-nde,dk-brown-blk,absent,firm-and-dry,diseased,colored,norm,absent,norm,absent,frog-eye-leaf-spot
absent,abnorm,yes,above-sec-nde,dk-brown-blk,absent,firm-and-dry,diseased,colored,norm,absent,norm,absent,frog-eye-leaf-spot
absent,abnorm,yes,above-sec-nde,dk-brown-blk,absent,firm-and-dry,diseased,colored,norm,absent,norm,absent,frog-eye-leaf-spot
absent,abnorm,yes,above-sec-nde,dk-brown-blk,absent,firm-and-dry,diseased,colored,norm,absent,norm,absent,frog-eye-leaf-spot
absent,abnorm,yes,above-sec-nde,dk-brown-blk,absent,firm-and-dry,diseased,colored,norm,absent,norm,absent,frog-eye-leaf-spot
